Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,149.75,-42.27,-90.0,top
C2,100n,C_0402_1005Metric,153.5,-42.27,90.0,top
C3,100n,C_0402_1005Metric,148.5,-42.23,90.0,top
C4,100n,C_0402_1005Metric,156.25,-49.73,-90.0,top
C5,100n,C_0402_1005Metric,165.48,-57.0,0.0,top
C6,100n,C_0402_1005Metric,152.25,-42.27,-90.0,top
C7,100n,C_0402_1005Metric,159.48,-49.0,180.0,top
C8,1u,C_0402_1005Metric,172.0,-43.2045,-90.0,top
C9,100n,C_0402_1005Metric,153.0,-114.6,180.0,top
C10,1u,C_0402_1005Metric,171.25,-46.7975,90.0,top
C11,100n,C_0402_1005Metric,174.25,-51.23,90.0,top
C12,100n,C_0402_1005Metric,152.95,-85.8,180.0,top
C13,100n,C_0402_1005Metric,153.0,-71.2,180.0,top
C14,100n,C_0402_1005Metric,152.96,-100.8,180.0,top
C15,1u,C_0402_1005Metric,159.25,-43.73,90.0,top
C16,1u,C_0402_1005Metric,170.48,-45.25,0.0,top
D1,LED,D_0603_1608Metric,172.945,-46.824,90.0,top
Q1,Q_NMOS_GSD,SOT-23,167.7,-59.25,-90.0,top
R1,220R,R_0805_2012Metric,162.7125,-56.8,180.0,top
R2,100k,R_0805_2012Metric,164.0,-61.75,0.0,top
R3,10k,R_0805_2012Metric,161.0,-60.0875,-90.0,top
R4,10k,R_0402_1005Metric,166.99,-61.5,180.0,top
R5,2k2,R_0402_1005Metric,173.5,-43.214,90.0,top
R6,10k,R_0402_1005Metric,158.49,-46.0,0.0,top
R7,10k,R_0402_1005Metric,142.19,-52.1,0.0,top
R8,10k,R_0402_1005Metric,158.5,-48.0,0.0,top
R9,10k,R_0402_1005Metric,142.21,-53.1,0.0,top
R10,10k,R_0402_1005Metric,155.99,-47.0,0.0,top
R11,10k,R_0402_1005Metric,158.5,-47.0,0.0,top
R12,10k,R_0402_1005Metric,155.99,-48.0,0.0,top
R13,220R,R_0402_1005Metric,169.29,-56.8,180.0,top
U1,MAX3232,SOIC-16_3.9x9.9mm_P1.27mm,150.38,-46.87,-90.0,top
U2,LMV321,SOT-23-5,164.0,-59.25,0.0,top
U3,HT75xx-1-SOT89,SOT-89-3,169.0,-43.5,0.0,top
U4,STM32G030XX,TSSOP-20_4.4x6.5mm_P0.65mm,164.64,-50.155,0.0,top
U5,TMP235A2,SOT-353_SC-70-5,153.0,-117.4,90.0,top
U6,TMP235A2,SOT-353_SC-70-5,171.8,-51.25,0.0,top
U7,TMP235A2,SOT-353_SC-70-5,152.95,-88.36,90.0,top
U8,CD4051B,SOIC-16_3.9x9.9mm_P1.27mm,146.87,-56.37,180.0,top
U9,CD4051B,SOIC-16_3.9x9.9mm_P1.27mm,155.62,-56.37,180.0,top
U10,TMP235A2,SOT-353_SC-70-5,153.0,-73.56,90.0,top
U11,TMP235A2,SOT-353_SC-70-5,152.96,-102.8,90.0,top
U12,L78L05_SOT89,SOT-89-3,162.5,-43.5,0.0,top
